water_id,lat,lon
Selokan Depan Perumahan YKP Pandugo,-7.32081795481247,112.789713698518
Selokan Depan Samator,-7.30981553508125,112.77389377355578
Selokan Dekat Pizza Hut Merr,-7.29794390583232,112.782018565984
Selokan Dharmahusada Indah,-7.277583616225564,112.77227371931077
Sungai Depan ITATS,-7.289700961450474,112.77882635593416
Sungai Wisma Permai,-7.2747113035512685, 112.79356956547218
Selokan Dekat Resto Niki Sae,-7.27280557175764,112.781375514003
Sungai Depan SPBU Manyar (Dekat RS Bedah),-7.28092811349137,112.771907561617
Sungai Seberang Apartemen Gunawangsa Menur,-7.289537,112.768956
